iter	Passed	Remaining
0	7	7120
1	15	7657
2	22	7391
3	29	7325
4	36	7254
5	44	7353
6	51	7337
7	59	7363
8	66	7364
9	73	7320
10	80	7250
11	87	7169
12	94	7168
13	101	7124
14	108	7108
15	114	7055
16	121	6999
17	128	7010
18	135	7006
19	143	7019
20	150	6994
21	157	6985
22	163	6964
23	170	6928
24	176	6886
25	182	6844
26	189	6827
27	195	6801
28	202	6793
29	209	6772
30	216	6762
31	223	6774
32	230	6757
33	237	6750
34	244	6733
35	250	6719
36	257	6712
37	264	6702
38	273	6730
39	280	6727
40	287	6734
41	294	6715
42	301	6707
43	308	6701
44	315	6698
45	323	6701
46	330	6698
47	337	6690
48	344	6684
49	351	6673
50	357	6654
51	364	6651
52	371	6639
53	377	6617
54	384	6609
55	391	6594
56	398	6592
57	405	6581
58	411	6570
59	418	6562
60	425	6552
61	433	6552
62	439	6542
63	447	6551
64	454	6538
65	461	6530
66	468	6518
67	475	6511
68	481	6503
69	488	6495
70	495	6487
71	502	6479
72	510	6476
73	515	6450
74	522	6441
75	529	6442
76	536	6431
77	543	6429
78	550	6419
79	555	6388
80	563	6387
81	569	6379
82	577	6375
83	583	6367
84	591	6367
85	598	6360
86	605	6352
87	611	6334
88	617	6319
89	624	6315
90	631	6311
91	638	6298
92	644	6284
93	651	6275
94	658	6271
95	664	6252
96	670	6243
97	677	6231
98	683	6219
99	690	6215
100	697	6206
101	704	6198
102	710	6186
103	716	6175
104	723	6169
105	730	6158
106	737	6152
107	743	6142
108	751	6141
109	758	6134
110	765	6127
111	772	6122
112	778	6112
113	785	6105
114	792	6096
115	799	6090
116	805	6078
117	812	6071
118	819	6066
119	826	6057
120	833	6053
121	839	6043
122	847	6039
123	853	6031
124	860	6022
125	867	6020
126	874	6011
127	881	6008
128	888	6000
129	896	5996
130	903	5990
131	909	5983
132	917	5977
133	923	5966
134	930	5958
135	935	5945
136	942	5936
137	949	5931
138	956	5926
139	963	5918
140	970	5910
141	977	5908
142	984	5901
143	991	5894
144	998	5886
145	1004	5878
146	1011	5872
147	1018	5863
148	1025	5859
149	1032	5852
150	1039	5846
151	1046	5838
152	1053	5831
153	1061	5832
154	1068	5824
155	1075	5817
156	1081	5807
157	1088	5801
158	1095	5793
159	1101	5782
160	1108	5777
161	1115	5767
162	1122	5763
163	1129	5755
164	1136	5749
165	1143	5743
166	1150	5737
167	1157	5731
168	1164	5725
169	1171	5720
170	1178	5712
171	1185	5706
172	1192	5698
173	1198	5691
174	1205	5684
175	1212	5676
176	1219	5672
177	1226	5663
178	1233	5657
179	1240	5649
180	1246	5641
181	1253	5634
182	1260	5627
183	1268	5623
184	1274	5614
185	1282	5612
186	1289	5607
187	1296	5600
188	1303	5594
189	1310	5587
190	1317	5582
191	1324	5573
192	1331	5567
193	1338	5560
194	1345	5554
195	1351	5545
196	1358	5536
197	1366	5533
198	1373	5528
199	1380	5523
200	1387	5514
201	1394	5507
202	1400	5500
203	1407	5492
204	1415	5487
205	1421	5480
206	1428	5474
207	1435	5467
208	1443	5461
209	1450	5455
210	1456	5447
211	1463	5440
212	1470	5431
213	1477	5426
214	1483	5417
215	1490	5410
216	1497	5404
217	1504	5397
218	1511	5391
219	1518	5383
220	1526	5379
221	1532	5372
222	1540	5368
223	1547	5360
224	1554	5353
225	1561	5346
226	1567	5338
227	1574	5332
228	1581	5324
229	1588	5319
230	1595	5311
231	1603	5306
232	1609	5298
233	1616	5291
234	1623	5285
235	1630	5276
236	1636	5270
237	1643	5262
238	1650	5254
239	1656	5245
240	1663	5238
241	1670	5231
242	1676	5223
243	1683	5216
244	1690	5209
245	1696	5201
246	1703	5192
247	1709	5184
248	1716	5176
249	1723	5170
250	1730	5163
251	1737	5156
252	1743	5148
253	1750	5142
254	1757	5134
255	1764	5127
256	1771	5120
257	1777	5112
258	1785	5107
259	1791	5099
260	1798	5092
261	1805	5086
262	1813	5080
263	1819	5072
264	1826	5064
265	1833	5058
266	1839	5050
267	1846	5042
268	1852	5034
269	1859	5027
270	1865	5019
271	1872	5010
272	1879	5004
273	1885	4995
274	1891	4987
275	1897	4978
276	1904	4969
277	1911	4963
278	1917	4955
279	1924	4947
280	1930	4939
281	1936	4930
282	1943	4923
283	1949	4915
284	1956	4907
285	1962	4900
286	1969	4891
287	1975	4885
288	1982	4876
289	1989	4870
